repository,file,module,developer,commit_count,change_frequency,code_churn,churn,loc,complexity,maintainability,code_smells,dependency_age,dependency_risk,issue_count,defect_count,issue_severity,pr_count,release_frequency,module_criticality,business_impact,debt_age,release_impact,maintenance_effort,estimated_remediation_effort,developer_concentration,defect_frequency
auth-gateway-service,auth.go,auth_service,dev-02,30,30,3019,3019,1420,34.0,54.7,11,280,20.6,2,3,3.0,17,0.17,90.0,90.8,80,9.0,47.8,39.8,0.87,2.11
auth-gateway-service,jwt.go,token_service,dev-04,43,43,4904,4904,780,21.0,74.1,6,280,20.6,6,2,3.17,17,0.17,85.0,78.3,116,9.0,148.6,83.7,0.88,2.56
auth-gateway-service,refresh.go,token_service,dev-02,32,32,3220,3220,450,12.0,85.3,3,280,20.6,5,1,1.8,17,0.17,85.0,78.3,42,9.0,183.8,83.6,0.78,2.22
core-banking-service,ledger.py,ledger_service,dev-01,23,23,2598,2598,1250,29.0,60.9,9,327,53.2,5,3,1.8,17,0.5,92.0,85.3,86,17.0,113.7,63.7,0.56,2.4
core-banking-service,reconciliation.py,ledger_service,dev-03,37,37,3741,3741,980,26.0,67.5,8,327,53.2,4,1,2.75,17,0.5,92.0,85.3,68,17.0,104.6,58.6,0.7,1.02
notification-engine,email_worker.py,email_dispatcher,dev-05,58,58,6450,6450,540,15.0,81.9,4,310,32.7,4,1,2.75,17,0.17,60.0,53.5,85,25.0,165.2,77.6,0.78,1.85
notification-engine,twilio_sms.py,sms_gateway,dev-06,42,42,4478,4478,610,16.0,79.8,5,310,32.7,3,2,2.0,17,0.17,65.0,68.5,106,25.0,139.4,78.1,0.76,3.28
core-banking-service,payment.py,payment_service,dev-01,23,23,4246,4246,1842,41.0,42.8,14,327,53.2,8,5,2.5,17,0.5,95.0,96.8,49,17.0,278.2,135.6,0.61,2.71
core-banking-service,stripe_adapter.py,payment_service,dev-03,29,29,2980,2980,620,18.0,78.7,5,327,53.2,5,1,3.2,17,0.5,95.0,96.8,39,17.0,198.1,92.1,0.79,1.61
reporting-analytics,daily_report.py,report_generator,dev-03,63,63,7015,7015,1120,31.0,61.9,10,290,20.8,2,3,3.5,17,0.17,70.0,74.5,30,15.0,68.2,46.6,0.75,2.68
reporting-analytics,csv_exporter.py,data_exporter,dev-05,48,48,5457,5457,390,9.0,88.1,2,290,20.8,4,4,2.75,17,0.17,55.0,49.3,47,15.0,92.4,45.7,0.79,10.26
