entity_id,repo_name,component_path,service_tier,programming_language,domain,archetype,lines_of_code,cyclomatic_complexity,cognitive_complexity,code_smells_count,code_duplication_pct,security_hotspots_count,dependency_count,outdated_dependencies_pct,churn_lines_last_30d,commits_last_90d,distinct_authors_last_90d,ownership_entropy,avg_pr_review_time_hrs,pr_rework_rate,unit_test_coverage_pct,ci_build_failure_rate,defects_reported_last_90d,production_incidents_last_180d,mttr_incident_mins,sprint_velocity_drag_pct,monthly_maintenance_hours
TD-00001,auth-service,auth-service/pkg/handler/cache_adapter_9.go,Tier_1,Go,Security/IAM,dormant_legacy,980,58,83,54,31.28,1,10,20.04,57,0,1,0.214,12.2,0.055,33.37,0.072,0,1,82,13.0,5.8
TD-00002,user-profile-api,user-profile-api/handlers/api/manager_4.py,Tier_2,Python,User Management,healthy_active,631,4,4,3,2.82,0,12,4.57,868,32,6,0.533,6.4,0.059,81.28,0.063,0,0,53,1.7,5.0
TD-00003,internal-admin-portal,internal-admin-portal/src/pages/admin/rule_engine_14.tsx,Tier_3,TypeScript,Backoffice,healthy_active,314,16,15,0,4.81,0,7,5.83,845,33,5,0.31,8.1,0.037,78.28,0.04,0,0,41,6.3,5.2
TD-00004,payment-gateway,payment-gateway/pkg/handler/validator_7.go,Tier_1,Go,Fintech/Checkout,healthy_active,338,16,15,2,2.96,0,8,13.31,547,48,3,0.294,7.6,0.024,90.79,0.018,0,0,28,1.6,7.3
TD-00005,user-profile-api,user-profile-api/tasks/workers/rule_engine_1.py,Tier_2,Python,User Management,legacy_hotspot,1913,53,82,50,43.7,2,39,63.0,1445,73,14,0.757,36.3,0.393,34.83,0.196,3,1,165,42.0,63.1
TD-00006,internal-admin-portal,internal-admin-portal/src/components/forms/cache_adapter_18.tsx,Tier_3,TypeScript,Backoffice,dormant_legacy,1204,42,47,15,25.09,0,21,33.34,16,3,1,0.012,21.7,0.177,38.82,0.089,0,0,67,9.8,4.4
TD-00007,search-indexer,search-indexer/src/main/scala/engine/legacy_sync_19.scala,Tier_2,Scala,Search/Discovery,healthy_active,508,3,2,2,0.93,0,5,8.86,646,41,5,0.576,9.6,0.072,93.08,0.057,0,0,31,1.7,4.8
TD-00008,inventory-worker,inventory-worker/services/core/exporter_6.py,Tier_2,Python,Supply Chain,average,1113,12,13,15,10.7,1,12,18.48,526,12,3,0.573,27.4,0.092,49.85,0.148,1,0,52,17.3,6.1
TD-00009,search-indexer,search-indexer/src/main/scala/index/dispatcher_5.scala,Tier_2,Scala,Search/Discovery,healthy_active,289,3,2,5,1.63,0,6,5.5,882,60,4,0.347,7.7,0.044,95.51,0.038,1,0,35,4.6,4.4
TD-00010,user-profile-api,user-profile-api/models/data/validator_3.py,Tier_2,Python,User Management,healthy_active,310,15,14,5,1.85,0,11,14.3,736,75,6,0.354,15.9,0.052,81.05,0.049,1,0,26,4.9,7.9
TD-00011,search-indexer,search-indexer/src/main/scala/engine/session_handler_12.scala,Tier_2,Scala,Search/Discovery,healthy_active,614,13,14,4,1.48,0,12,12.15,764,42,6,0.278,5.0,0.06,78.91,0.072,0,0,43,4.6,4.1
TD-00012,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/repository/exporter_2.java,Tier_3,Java,Reporting,average,1329,21,21,7,4.47,0,16,13.18,602,9,4,0.33,13.2,0.154,61.22,0.116,3,1,72,11.8,12.1
TD-00013,analytics-etl,analytics-etl/tasks/workers/validator_13.py,Tier_3,Python,Data/BI,legacy_hotspot,4501,152,207,55,38.56,1,31,68.8,1358,52,16,0.688,31.1,0.266,33.09,0.317,5,1,233,47.2,27.5
TD-00014,auth-service,auth-service/internal/middleware/dispatcher_20.go,Tier_1,Go,Security/IAM,healthy_active,877,6,6,1,0.13,0,13,12.01,583,28,4,0.577,9.4,0.116,94.3,0.024,0,0,37,0.8,1.1
TD-00015,notification-dispatcher,notification-dispatcher/src/queues/aggregator_3.js,Tier_2,Node.js,Communications,dormant_legacy,1149,41,55,20,25.64,1,8,28.87,56,3,1,0.13,33.7,0.118,47.58,0.132,0,0,108,14.8,3.0
TD-00016,payment-gateway,payment-gateway/internal/service/exporter_10.go,Tier_1,Go,Fintech/Checkout,dormant_legacy,1938,58,77,23,18.76,0,24,53.63,57,0,0,0.173,13.6,0.16,30.45,0.135,0,0,110,6.9,9.6
TD-00017,auth-service,auth-service/internal/service/state_machine_4.go,Tier_1,Go,Security/IAM,healthy_active,582,4,4,1,0.41,0,7,3.5,964,45,2,0.437,8.9,0.091,86.67,0.036,0,0,27,3.5,2.8
TD-00018,search-indexer,search-indexer/src/main/scala/index/legacy_sync_12.scala,Tier_2,Scala,Search/Discovery,healthy_active,767,9,10,4,1.19,0,11,5.62,843,36,5,0.591,11.8,0.052,78.78,0.075,1,0,39,5.6,1.5
TD-00019,order-management,order-management/src/main/java/com/platform/repository/session_handler_7.java,Tier_1,Java,Core Business,average,671,14,19,12,14.98,1,21,32.26,817,16,5,0.462,20.5,0.162,47.33,0.157,3,1,53,17.6,8.3
TD-00020,inventory-worker,inventory-worker/services/core/rule_engine_6.py,Tier_2,Python,Supply Chain,average,1682,18,20,9,13.73,1,6,19.42,168,5,2,0.322,12.9,0.099,45.41,0.049,2,1,98,16.2,16.2
TD-00021,internal-admin-portal,internal-admin-portal/src/components/forms/manager_15.tsx,Tier_3,TypeScript,Backoffice,dormant_legacy,2231,37,51,17,14.45,0,6,43.81,21,3,0,0.031,34.2,0.168,31.8,0.075,1,0,116,16.7,8.2
TD-00022,search-indexer,search-indexer/src/main/scala/index/parser_18.scala,Tier_2,Scala,Search/Discovery,healthy_active,581,4,4,5,2.25,0,14,4.47,1386,45,2,0.397,7.6,0.066,95.64,0.044,0,0,21,0.6,1.9
TD-00023,user-profile-api,user-profile-api/models/data/state_machine_2.py,Tier_2,Python,User Management,legacy_hotspot,3001,62,107,106,18.92,0,14,45.7,1172,66,15,0.718,52.8,0.451,27.47,0.131,7,3,138,32.3,45.4
TD-00024,user-profile-api,user-profile-api/services/core/exporter_11.py,Tier_2,Python,User Management,healthy_active,448,16,15,2,3.57,0,9,7.68,347,42,2,0.495,6.6,0.076,93.13,0.016,0,0,27,3.8,3.5
TD-00025,search-indexer,search-indexer/src/main/scala/index/validator_7.scala,Tier_2,Scala,Search/Discovery,healthy_active,1037,10,10,2,1.89,0,7,5.45,762,60,2,0.203,7.2,0.057,86.78,0.07,0,0,42,0.0,7.8
TD-00026,batch-reporting-service,batch-reporting-service/src/main/java/com/platform/repository/aggregator_16.java,Tier_3,Java,Reporting,healthy_active,675,12,11,3,1.03,0,12,4.86,868,22,3,0.507,5.2,0.071,94.78,0.032,0,0,35,3.0,4.2
TD-00027,search-indexer,search-indexer/src/main/scala/pipeline/legacy_sync_5.scala,Tier_2,Scala,Search/Discovery,healthy_active,1229,17,18,0,0.58,0,10,9.09,520,44,3,0.25,14.2,0.114,81.26,0.015,1,0,33,6.4,2.4
TD-00028,inventory-worker,inventory-worker/handlers/api/aggregator_18.py,Tier_2,Python,Supply Chain,legacy_hotspot,3176,120,207,76,25.57,1,15,57.39,1134,34,5,0.829,89.6,0.5,7.97,0.383,7,2,204,35.9,38.7
TD-00029,internal-admin-portal,internal-admin-portal/src/hooks/cache_adapter_19.tsx,Tier_3,TypeScript,Backoffice,dormant_legacy,1622,46,53,14,25.33,1,23,54.7,6,2,1,0.318,28.3,0.13,31.17,0.143,0,0,98,11.6,8.1
TD-00030,search-indexer,search-indexer/src/main/scala/pipeline/router_12.scala,Tier_2,Scala,Search/Discovery,average,1107,21,27,13,4.83,0,19,33.36,236,9,3,0.594,15.0,0.209,71.1,0.102,1,0,85,12.7,17.2
TD-00031,user-profile-api,user-profile-api/handlers/api/client_pool_16.py,Tier_2,Python,User Management,dormant_legacy,694,45,57,56,12.23,0,10,21.69,67,1,1,0.074,26.4,0.245,31.06,0.092,1,0,69,8.9,5.1
